model,mode,chunk_s,occurrences,detected,missed,false_pos,recall_pct,miss_rate_pct,precision_pct
tiny.en,file,-,20,18,2,3,90.0,10.0,85.7
tiny.en,live,1.0,20,17,3,19,85.0,15.0,47.2
tiny.en,live,2.0,20,18,2,9,90.0,10.0,66.7
tiny.en,live,4.0,20,18,2,8,90.0,10.0,69.2
base.en,file,-,20,18,2,3,90.0,10.0,85.7
base.en,live,1.0,20,18,2,12,90.0,10.0,60.0
base.en,live,2.0,20,18,2,9,90.0,10.0,66.7
base.en,live,4.0,20,18,2,6,90.0,10.0,75.0
small.en,file,-,20,19,1,3,95.0,5.0,86.4
small.en,live,1.0,20,17,3,13,85.0,15.0,56.7
small.en,live,2.0,20,17,3,6,85.0,15.0,73.9
small.en,live,4.0,20,18,2,4,90.0,10.0,81.8
