model,mode,chunk_s,clips,audio_s,proc_s,mean_rtf
tiny.en,file,-,350,1981.9,155.9,0.079
tiny.en,live,1.0,350,1981.9,695.8,0.351
tiny.en,live,2.0,350,1981.9,364.4,0.184
tiny.en,live,4.0,350,1981.9,211.4,0.107
base.en,file,-,350,1981.9,219.8,0.111
base.en,live,1.0,350,1981.9,2307.7,1.164
base.en,live,2.0,350,1981.9,958.4,0.484
base.en,live,4.0,350,1981.9,420.9,0.212
small.en,file,-,350,1981.9,598.9,0.302
small.en,live,1.0,350,1981.9,3265.1,1.647
small.en,live,2.0,350,1981.9,1662.3,0.839
small.en,live,4.0,350,1981.9,939.3,0.474
